feature,importance
Interest_rate_spread,0.6490889640829174
credit_type_EQUI,0.3505497381012453
Upfront_charges,0.00036129781583718937
rate_of_interest,0.0
year,0.0
term,0.0
property_value,0.0
income,0.0
loan_amount,0.0
LTV,0.0
dtir1,0.0
loan_limit_ncf,0.0
Gender_Joint,0.0
Gender_Male,0.0
Gender_Sex_Not_Available,0.0
approv_in_adv_pre,0.0
Credit_Score,0.0
loan_type_type2,0.0
loan_type_type3,0.0
loan_purpose_p3,0.0
loan_purpose_p2,0.0
Credit_Worthiness_l2,0.0
open_credit_opc,0.0
business_or_commercial_nob_c,0.0
loan_purpose_p4,0.0
interest_only_not_int,0.0
lump_sum_payment_not_lpsm,0.0
construction_type_sb,0.0
occupancy_type_pr,0.0
occupancy_type_sr,0.0
Secured_by_land,0.0
total_units_2U,0.0
Neg_ammortization_not_neg,0.0
total_units_3U,0.0
total_units_4U,0.0
credit_type_CRIF,0.0
credit_type_EXP,0.0
co_applicant_credit_type_EXP,0.0
age_35_44,0.0
age_45_54,0.0
age_55_64,0.0
age_65_74,0.0
age__25,0.0
age__74,0.0
submission_of_application_to_inst,0.0
Region_North_East,0.0
Region_central,0.0
Region_south,0.0
Security_Type_direct,0.0
